illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
directive,bible_BKR_Za.txt,60,270,0.2222,0.2591,0.0809,-0.456,47
directive,bible_BKR_Zd.txt,82,294,0.2789,0.2591,0.0809,0.245,25
directive,bible_BKR_Zj.txt,120,532,0.2256,0.2591,0.0809,-0.414,46
expressive,bible_BKR_1J.txt,4,150,0.0267,0.0241,0.0214,0.122,28
expressive,bible_BKR_1K.txt,12,559,0.0215,0.0241,0.0214,-0.121,30
expressive,bible_BKR_1Kr.txt,6,1053,0.0057,0.0241,0.0214,-0.861,53
expressive,bible_BKR_1P.txt,4,94,0.0426,0.0241,0.0214,0.866,11
expressive,bible_BKR_1Pa.txt,10,1007,0.0099,0.0241,0.0214,-0.664,43
expressive,bible_BKR_1S.txt,9,1304,0.0069,0.0241,0.0214,-0.804,50
expressive,bible_BKR_1Te.txt,5,82,0.061,0.0241,0.0214,1.727,7
expressive,bible_BKR_1Tm.txt,7,101,0.0693,0.0241,0.0214,2.115,4
expressive,bible_BKR_2J.txt,1,14,0.0714,0.0241,0.0214,2.213,3
expressive,bible_BKR_2K.txt,10,281,0.0356,0.0241,0.0214,0.538,16
expressive,bible_BKR_2Kr.txt,1,1089,0.0009,0.0241,0.0214,-1.085,59
expressive,bible_BKR_2P.txt,0,48,0.0,0.0241,0.0214,-1.127,60
expressive,bible_BKR_2Pa.txt,3,1045,0.0029,0.0241,0.0214,-0.992,57
expressive,bible_BKR_2S.txt,5,1057,0.0047,0.0241,0.0214,-0.907,55
expressive,bible_BKR_2Te.txt,1,37,0.027,0.0241,0.0214,0.136,26
expressive,bible_BKR_2Tm.txt,3,85,0.0353,0.0241,0.0214,0.524,18
expressive,bible_BKR_3J.txt,1,20,0.05,0.0241,0.0214,1.212,9
expressive,bible_BKR_Abd.txt,1,32,0.0312,0.0241,0.0214,0.333,21
expressive,bible_BKR_Abk.txt,6,79,0.0759,0.0241,0.0214,2.424,2
expressive,bible_BKR_Ag.txt,0,47,0.0,0.0241,0.0214,-1.127,61
expressive,bible_BKR_Am.txt,5,176,0.0284,0.0241,0.0214,0.202,24
expressive,bible_BKR_Da.txt,8,451,0.0177,0.0241,0.0214,-0.299,35
expressive,bible_BKR_Dt.txt,8,976,0.0082,0.0241,0.0214,-0.744,46
expressive,bible_BKR_Ef.txt,5,95,0.0526,0.0241,0.0214,1.334,8
expressive,bible_BKR_Est.txt,2,219,0.0091,0.0241,0.0214,-0.701,44
expressive,bible_BKR_Ex.txt,22,1668,0.0132,0.0241,0.0214,-0.51,40
expressive,bible_BKR_Ez.txt,19,1500,0.0127,0.0241,0.0214,-0.533,41
expressive,bible_BKR_Ezd.txt,2,257,0.0078,0.0241,0.0214,-0.762,48
expressive,bible_BKR_Fm.txt,0,21,0.0,0.0241,0.0214,-1.127,62
expressive,bible_BKR_Fp.txt,4,89,0.0449,0.0241,0.0214,0.974,10
